10,0,1,0,0,0,0,0,0,89
10,0,1,0,0,0,0,0,0,89
10,0,1,0,0,0,0,0,0,89
10,0,1,0,0,0,0,0,0,89
10,0,1,20,0,0,0,0,0,69
10,0,1,20,0,0,0,0,0,69
10,0,0,20,0,0,0,0,0,70
10,0,0,20,0,0,0,0,0,70
10,0,0,20,0,0,0,0,0,70
15,0,1,0,0,0,0,20,0,64
15,0,1,0,0,0,0,20,0,64
15,0,1,0,0,0,0,20,0,64
15,0,1,0,0,0,0,20,0,64
15,0,1,0,0,0,0,20,0,64
10,0,1,0,30,10,20,0,0,29
10,0,1,0,30,10,20,0,0,29
10,0,0,0,30,10,20,0,0,30
10,0,0,0,30,10,20,0,0,30
10,0,0,0,30,10,20,0,0,30
0,15,1,10,0,0,0,0,0,74
0,15,1,10,0,0,0,0,0,74
0,15,1,10,0,0,0,0,0,74
0,15,1,10,0,0,0,0,0,74
0,15,1,10,0,0,0,0,0,74
15,0,1,10,20,10,10,20,0,14
15,0,1,10,20,10,10,20,0,14
15,0,0,10,20,10,10,20,0,15
15,0,0,10,20,10,10,20,0,15
15,0,0,10,20,10,10,20,0,15
25,10,1,10,20,10,10,0,0,14
25,10,1,10,20,10,10,0,0,14
25,10,1,10,20,10,10,0,0,14
25,10,1,10,20,10,10,0,0,14
25,10,1,10,20,10,10,0,0,14
10,5,1,0,0,0,0,40,0,44
10,5,1,0,0,0,0,40,0,44
10,5,0,0,0,0,0,40,0,45
10,5,0,0,0,0,0,40,0,45
10,5,0,0,0,0,0,40,0,45
15,0,1,0,30,10,30,0,0,14
15,0,1,0,30,10,30,0,0,14
15,0,1,0,30,10,30,0,0,14
15,0,1,0,30,10,30,0,0,14
15,0,1,0,30,10,30,0,0,14
15,10,1,0,15,35,0,10,0,14
15,10,1,0,15,35,0,10,0,14
15,10,0,0,15,35,0,10,0,15
15,10,0,0,15,35,0,10,0,15
15,10,0,0,15,35,0,10,0,15
25,5,1,5,10,15,15,10,0,14
